Date,Open,High,Low,Close
2005-04-01,,,,1000.0
2005-04-04,,,,1007.59
2005-04-05,,,,999.78
2005-04-06,,,,1019.63
2005-04-07,,,,1022.89
2005-04-08,,,,1013.84
2005-04-11,,,,1006.46
2005-04-12,,,,1014.4
2005-04-13,,,,1012.74
2005-04-15,,,,986.61
2005-04-18,,,,981.2
2005-04-19,,,,975.96
2005-04-20,,,,981.16
2005-04-21,,,,999.22
2005-04-22,,,,1014.29
2005-04-25,,,,1021.28
2005-04-26,,,,1024.67
2005-04-27,,,,1019.44
2005-04-28,,,,1019.08
2005-04-29,,,,998.83
2005-05-02,,,,990.31
2005-05-03,,,,996.36
2005-05-04,,,,1016.29
2005-05-05,,,,1028.6
2005-05-06,,,,1034.65
2005-05-09,,,,1050.74
2005-05-10,,,,1056.16
2005-05-11,,,,1061.59
2005-05-12,,,,1082.64
2005-05-13,,,,1098.78
2005-05-16,,,,1115.57
2005-05-17,,,,1102.08
2005-05-18,,,,1105.15
2005-05-19,,,,1120.67
2005-05-20,,,,1124.38
2005-05-23,,,,1136.16
2005-05-24,,,,1134.88
2005-05-25,,,,1141.56
2005-05-26,,,,1136.72
2005-05-27,,,,1125.53
2005-05-30,,,,1114.32
2005-05-31,,,,1126.08
2005-06-01,,,,1136.18
2005-06-02,,,,1128.46
2005-06-03,,,,1143.32
2005-06-04,,,,1154.73
2005-06-06,,,,1160.11
2005-06-07,,,,1164.88
2005-06-08,,,,1168.0
2005-06-09,,,,1169.9
2005-06-10,,,,1164.75
2005-06-13,,,,1169.74
2005-06-14,,,,1175.04
2005-06-15,,,,1183.62
2005-06-16,,,,1157.94
2005-06-17,,,,1136.26
2005-06-20,,,,1122.3
2005-06-21,,,,1130.51
2005-06-22,,,,1132.32
2005-06-23,,,,1137.18
2005-06-24,,,,1150.5
2005-06-27,,,,1144.88
2005-06-28,,,,1122.48
2005-06-29,,,,1133.69
2005-06-30,,,,1141.76
2005-07-01,,,,1156.11
2005-07-04,,,,1173.75
2005-07-05,,,,1166.41
2005-07-06,,,,1185.94
2005-07-07,,,,1172.09
2005-07-08,,,,1195.07
2005-07-11,,,,1216.11
2005-07-12,,,,1220.99
2005-07-13,,,,1233.75
2005-07-14,,,,1236.98
2005-07-15,,,,1254.88
2005-07-18,,,,1278.55
2005-07-19,,,,1284.69
2005-07-20,,,,1293.14
2005-07-21,,,,1289.0
2005-07-22,,,,1306.13
2005-07-25,,,,1309.52
2005-07-26,,,,1299.18
2005-07-27,,,,1293.41
2005-07-29,,,,1279.98
2005-08-01,,,,1280.77
2005-08-02,,,,1307.91
2005-08-03,,,,1305.05
2005-08-04,,,,1321.84
2005-08-05,,,,1341.31
2005-08-08,,,,1331.73
2005-08-09,,,,1337.03
2005-08-10,,,,1370.98
2005-08-11,,,,1392.23
2005-08-12,,,,1401.02
2005-08-16,,,,1425.92
2005-08-17,,,,1450.88
2005-08-18,,,,1443.75
2005-08-19,,,,1460.98
2005-08-22,,,,1464.74
2005-08-23,,,,1421.68
2005-08-24,,,,1407.25
2005-08-25,,,,1435.79
2005-08-26,,,,1447.34
2005-08-29,,,,1464.57
2005-08-30,,,,1483.17
2005-08-31,,,,1507.29
2005-09-01,,,,1521.78
2005-09-02,,,,1521.44
2005-09-05,,,,1531.5
2005-09-06,,,,1530.84
2005-09-08,,,,1542.36
2005-09-09,,,,1530.92
2005-09-12,,,,1552.12
2005-09-13,,,,1563.64
2005-09-14,,,,1556.23
2005-09-15,,,,1581.49
2005-09-16,,,,1595.89
2005-09-19,,,,1605.98
2005-09-20,,,,1595.39
2005-09-21,,,,1546.77
2005-09-22,,,,1437.83
2005-09-23,,,,1447.38
2005-09-26,,,,1511.43
2005-09-27,,,,1524.65
2005-09-28,,,,1531.2
2005-09-29,,,,1508.03
2005-09-30,,,,1484.6
2005-10-03,,,,1510.95
2005-10-04,,,,1532.36
2005-10-05,,,,1522.99
2005-10-06,,,,1501.92
2005-10-07,,,,1498.0
2005-10-10,,,,1485.08
2005-10-11,,,,1471.21
2005-10-13,,,,1457.68
2005-10-14,,,,1417.62
2005-10-17,,,,1397.06
2005-10-18,,,,1394.62
2005-10-19,,,,1340.99
2005-10-20,,,,1310.41
2005-10-21,,,,1323.1
2005-10-24,,,,1327.43
2005-10-25,,,,1329.67
2005-10-26,,,,1330.44
2005-10-27,,,,1312.54
2005-10-28,,,,1283.2
2005-10-31,,,,1306.96
2005-11-01,,,,1334.69
2005-11-02,,,,1338.16
2005-11-07,,,,1368.64
2005-11-08,,,,1387.37
2005-11-09,,,,1386.28
2005-11-10,,,,1394.86
2005-11-11,,,,1418.36
2005-11-14,,,,1423.55
2005-11-16,,,,1435.35
2005-11-17,,,,1439.11
2005-11-18,,,,1442.45
2005-11-21,,,,1429.15
2005-11-22,,,,1421.96
2005-11-23,,,,1436.64
2005-11-24,,,,1449.75
2005-11-25,,,,1461.2
2005-11-26,,,,1470.53
2005-11-28,,,,1482.89
2005-11-29,,,,1475.71
2005-11-30,,,,1468.93
2005-12-01,,,,1479.95
2005-12-02,,,,1485.55
2005-12-05,,,,1487.6
2005-12-06,,,,1496.03
2005-12-07,,,,1508.84
2005-12-08,,,,1521.37
2005-12-09,,,,1541.62
2005-12-12,,,,1543.81
2005-12-13,,,,1544.68
2005-12-14,,,,1538.95
2005-12-15,,,,1526.56
2005-12-16,,,,1534.1
2005-12-19,,,,1543.06
2005-12-20,,,,1536.7
2005-12-21,,,,1540.48
2005-12-22,,,,1542.51
2005-12-23,,,,1530.56
2005-12-26,,,,1496.83
2005-12-27,,,,1524.56
2005-12-28,,,,1528.6
2005-12-29,,,,1546.32
2005-12-30,,,,1561.31
2006-01-02,,,,1584.52
2006-01-03,,,,1614.71
2006-01-04,,,,1621.61
2006-01-05,,,,1618.02
2006-01-06,,,,1629.76
2006-01-09,,,,1638.81
2006-01-10,,,,1626.89
2006-01-12,,,,1636.88
2006-01-13,,,,1647.87
2006-01-16,,,,1636.79
2006-01-17,,,,1623.1
2006-01-18,,,,1607.28
2006-01-19,,,,1652.9
2006-01-20,,,,1666.86
2006-01-23,,,,1671.76
2006-01-24,,,,1684.6
2006-01-25,,,,1671.0
2006-01-27,,,,1673.93
2006-01-30,,,,1646.48
2006-01-31,,,,1644.5
2006-02-01,,,,1616.44
2006-02-02,,,,1613.97
2006-02-03,,,,1611.89
2006-02-06,,,,1623.73
2006-02-07,,,,1613.61
2006-02-08,,,,1614.24
2006-02-10,,,,1630.21
2006-02-13,,,,1647.6
2006-02-14,,,,1639.34
2006-02-15,,,,1642.77
2006-02-16,,,,1648.83
2006-02-17,,,,1624.12
2006-02-20,,,,1610.61
2006-02-21,,,,1624.31
2006-02-22,,,,1616.17
2006-02-23,,,,1608.55
2006-02-24,,,,1606.54
2006-02-27,,,,1613.87
2006-02-28,,,,1613.17
2006-03-01,,,,1638.66
2006-03-02,,,,1643.25
2006-03-03,,,,1650.44
2006-03-06,,,,1674.0
2006-03-07,,,,1686.29
2006-03-08,,,,1667.95
2006-03-09,,,,1672.03
2006-03-10,,,,1692.1
2006-03-13,,,,1698.22
2006-03-14,,,,1690.02
2006-03-16,,,,1692.49
2006-03-17,,,,1682.06
2006-03-20,,,,1693.29
2006-03-21,,,,1688.25
2006-03-22,,,,1672.37
2006-03-23,,,,1675.97
2006-03-24,,,,1686.03
2006-03-27,,,,1706.12
2006-03-28,,,,1694.57
2006-03-29,,,,1718.56
2006-03-30,,,,1743.4
2006-03-31,,,,1769.35
2006-04-03,,,,1825.14
2006-04-04,,,,1839.01
2006-04-05,,,,1869.01
2006-04-07,,,,1846.62
2006-04-10,,,,1868.94
2006-04-12,,,,1847.1
2006-04-13,,,,1807.98
2006-04-17,,,,1842.56
2006-04-18,,,,1863.32
2006-04-19,,,,1873.69
2006-04-20,,,,1886.65
2006-04-21,,,,1889.18
2006-04-24,,,,1911.75
2006-04-25,,,,1901.6
2006-04-26,,,,1940.98
2006-04-27,,,,1958.99
2006-04-28,,,,1944.57
2006-04-29,,,,1997.18
2006-05-02,,,,2019.01
2006-05-03,,,,2029.26
2006-05-04,,,,2034.6
2006-05-05,,,,2043.09
2006-05-08,,,,2067.87
2006-05-09,,,,2083.73
2006-05-10,,,,2115.47
2006-05-11,,,,2104.7
2006-05-12,,,,2100.92
2006-05-15,,,,2047.48
2006-05-16,,,,2016.29
2006-05-17,,,,2094.45
2006-05-18,,,,1951.49
2006-05-19,,,,1872.73
2006-05-22,,,,1744.78
2006-05-23,,,,1806.49
2006-05-24,,,,1812.68
2006-05-25,,,,1806.43
2006-05-26,,,,1851.92
2006-05-29,,,,1872.49
2006-05-30,,,,1879.15
2006-05-31,,,,1820.58
2006-06-01,,,,1774.02
2006-06-02,,,,1739.23
2006-06-05,,,,1705.93
2006-06-06,,,,1640.46
2006-06-07,,,,1526.68
2006-06-08,,,,1399.29
2006-06-09,,,,1462.31
2006-06-12,,,,1434.68
2006-06-13,,,,1349.35
2006-06-14,,,,1300.9
2006-06-15,,,,1349.92
2006-06-16,,,,1408.81
2006-06-19,,,,1442.89
2006-06-20,,,,1468.28
2006-06-21,,,,1517.74
2006-06-22,,,,1564.43
2006-06-23,,,,1579.7
2006-06-25,,,,1602.45
2006-06-26,,,,1544.5
2006-06-27,,,,1526.78
2006-06-28,,,,1522.09
2006-06-29,,,,1535.59
2006-06-30,,,,1586.78
2006-07-03,,,,1599.27
2006-07-04,,,,1602.88
2006-07-05,,,,1618.98
2006-07-06,,,,1621.26
2006-07-07,,,,1610.97
2006-07-10,,,,1598.65
2006-07-11,,,,1592.89
2006-07-12,,,,1591.91
2006-07-13,,,,1586.5
2006-07-14,,,,1571.71
2006-07-17,,,,1535.52
2006-07-18,,,,1501.89
2006-07-19,,,,1449.41
2006-07-20,,,,1458.61
2006-07-21,,,,1418.19
2006-07-24,,,,1399.72
2006-07-25,,,,1431.57
2006-07-26,,,,1465.39
2006-07-27,,,,1486.75
2006-07-28,,,,1506.73
2006-07-31,,,,1526.02
2006-08-01,,,,1510.87
2006-08-02,,,,1528.9
2006-08-03,,,,1543.11
2006-08-04,,,,1537.53
2006-08-07,,,,1534.88
2006-08-08,,,,1557.05
2006-08-09,,,,1577.37
2006-08-10,,,,1615.05
2006-08-11,,,,1648.84
2006-08-14,,,,1687.07
2006-08-16,,,,1714.05
2006-08-17,,,,1690.25
2006-08-18,,,,1704.55
2006-08-21,,,,1713.43
2006-08-22,,,,1713.9
2006-08-23,,,,1689.56
2006-08-24,,,,1691.73
2006-08-25,,,,1707.6
2006-08-28,,,,1711.28
2006-08-29,,,,1709.7
2006-08-30,,,,1696.15
2006-08-31,,,,1673.78
2006-09-01,,,,1682.06
2006-09-04,,,,1702.7
2006-09-05,,,,1710.1
2006-09-06,,,,1728.28
2006-09-07,,,,1726.27
2006-09-08,,,,1740.35
2006-09-11,,,,1693.25
2006-09-12,,,,1699.74
2006-09-13,,,,1730.85
2006-09-14,,,,1735.33
2006-09-15,,,,1737.64
2006-09-18,,,,1749.52
2006-09-19,,,,1733.9
2006-09-20,,,,1734.45
2006-09-21,,,,1747.98
2006-09-22,,,,1739.02
2006-09-25,,,,1739.1
2006-09-26,,,,1741.31
2006-09-27,,,,1747.68
2006-09-28,,,,1755.34
2006-09-29,,,,1773.36
2006-10-03,,,,1782.04
2006-10-04,,,,1772.86
2006-10-05,,,,1803.16
2006-10-06,,,,1820.96
2006-10-09,,,,1840.01
2006-10-10,,,,1845.26
2006-10-11,,,,1822.9
2006-10-12,,,,1837.1
2006-10-13,,,,1845.57
2006-10-16,,,,1842.86
2006-10-17,,,,1831.01
2006-10-18,,,,1839.89
2006-10-19,,,,1837.31
2006-10-20,,,,1845.09
2006-10-21,,,,1869.53
2006-10-23,,,,1856.76
2006-10-26,,,,1866.32
2006-10-27,,,,1873.25
2006-10-30,,,,1868.12
2006-10-31,,,,1853.1
2006-11-01,,,,1867.49
2006-11-02,,,,1873.03
2006-11-03,,,,1876.31
2006-11-06,,,,1892.0
2006-11-07,,,,1892.78
2006-11-08,,,,1869.44
2006-11-09,,,,1886.5
2006-11-10,,,,1896.95
2006-11-13,,,,1911.3
2006-11-14,,,,1897.12
2006-11-15,,,,1893.8
2006-11-16,,,,1887.49
2006-11-17,,,,1855.25
2006-11-20,,,,1835.22
2006-11-21,,,,1865.08
2006-11-22,,,,1877.18
2006-11-23,,,,1878.46
2006-11-24,,,,1887.54
2006-11-27,,,,1898.02
2006-11-28,,,,1885.52
2006-11-29,,,,1909.83
2006-11-30,,,,1910.78
2006-12-01,,,,1932.6
2006-12-04,,,,1945.47
2006-12-05,,,,1949.02
2006-12-06,,,,1928.62
2006-12-07,,,,1932.53
2006-12-08,,,,1921.47
