Date,Open,High,Low,Close
2005-04-01,,,,1000.0
2005-04-04,,,,1008.74
2005-04-05,,,,1001.26
2005-04-06,,,,1013.46
2005-04-07,,,,1014.13
2005-04-08,,,,1007.43
2005-04-11,,,,997.56
2005-04-12,,,,1004.88
2005-04-13,,,,1005.39
2005-04-15,,,,981.8
2005-04-18,,,,975.01
2005-04-19,,,,972.74
2005-04-20,,,,977.64
2005-04-21,,,,993.87
2005-04-22,,,,1006.84
2005-04-25,,,,1011.41
2005-04-26,,,,1012.1
2005-04-27,,,,1003.55
2005-04-28,,,,1000.4
2005-04-29,,,,984.72
2005-05-02,,,,978.18
2005-05-03,,,,981.59
2005-05-04,,,,993.91
2005-05-05,,,,1004.63
2005-05-06,,,,1009.57
2005-05-09,,,,1023.03
2005-05-10,,,,1024.58
2005-05-11,,,,1028.32
2005-05-12,,,,1042.23
2005-05-13,,,,1051.05
2005-05-16,,,,1063.19
2005-05-17,,,,1053.42
2005-05-18,,,,1057.87
2005-05-19,,,,1066.76
2005-05-20,,,,1065.47
2005-05-23,,,,1071.9
2005-05-24,,,,1074.4
2005-05-25,,,,1078.89
2005-05-26,,,,1077.08
2005-05-27,,,,1071.71
2005-05-30,,,,1063.07
2005-05-31,,,,1071.51
2005-06-01,,,,1078.8
2005-06-02,,,,1072.5
2005-06-03,,,,1082.71
2005-06-04,,,,1089.78
2005-06-06,,,,1092.61
2005-06-07,,,,1097.11
2005-06-08,,,,1100.74
2005-06-09,,,,1105.1
2005-06-10,,,,1101.79
2005-06-13,,,,1103.89
2005-06-14,,,,1107.68
2005-06-15,,,,1113.58
2005-06-16,,,,1098.41
2005-06-17,,,,1080.11
2005-06-20,,,,1073.73
2005-06-21,,,,1078.91
2005-06-22,,,,1076.64
2005-06-23,,,,1081.42
2005-06-24,,,,1091.5
2005-06-27,,,,1090.13
2005-06-28,,,,1071.4
2005-06-29,,,,1080.85
2005-06-30,,,,1082.65
2005-07-01,,,,1096.6
2005-07-04,,,,1114.41
2005-07-05,,,,1110.61
2005-07-06,,,,1129.82
2005-07-07,,,,1115.08
2005-07-08,,,,1133.18
2005-07-11,,,,1149.76
2005-07-12,,,,1152.74
2005-07-13,,,,1162.14
2005-07-14,,,,1160.69
2005-07-15,,,,1174.76
2005-07-18,,,,1198.67
2005-07-19,,,,1206.37
2005-07-20,,,,1210.57
2005-07-21,,,,1204.37
2005-07-22,,,,1218.25
2005-07-25,,,,1221.11
2005-07-26,,,,1215.16
2005-07-27,,,,1214.45
2005-07-29,,,,1203.04
2005-08-01,,,,1209.73
2005-08-02,,,,1233.38
2005-08-03,,,,1231.5
2005-08-04,,,,1241.62
2005-08-05,,,,1254.64
2005-08-08,,,,1243.08
2005-08-09,,,,1240.13
2005-08-10,,,,1267.6
2005-08-11,,,,1285.34
2005-08-12,,,,1292.52
2005-08-16,,,,1305.88
2005-08-17,,,,1320.56
2005-08-18,,,,1314.78
2005-08-19,,,,1320.4
2005-08-22,,,,1320.27
2005-08-23,,,,1287.62
2005-08-24,,,,1271.87
2005-08-25,,,,1287.63
2005-08-26,,,,1306.38
2005-08-29,,,,1310.81
2005-08-30,,,,1326.4
2005-08-31,,,,1342.91
2005-09-01,,,,1354.96
2005-09-02,,,,1358.25
2005-09-05,,,,1362.31
2005-09-06,,,,1363.93
2005-09-08,,,,1372.86
2005-09-09,,,,1369.2
2005-09-12,,,,1385.74
2005-09-13,,,,1394.74
2005-09-14,,,,1388.07
2005-09-15,,,,1407.41
2005-09-16,,,,1416.91
2005-09-19,,,,1431.77
2005-09-20,,,,1425.48
2005-09-21,,,,1387.76
2005-09-22,,,,1307.51
2005-09-23,,,,1320.88
2005-09-26,,,,1368.44
2005-09-27,,,,1381.19
2005-09-28,,,,1392.2
2005-09-29,,,,1385.03
2005-09-30,,,,1376.84
2005-10-03,,,,1397.81
2005-10-04,,,,1414.18
2005-10-05,,,,1409.37
2005-10-06,,,,1388.79
2005-10-07,,,,1385.15
2005-10-10,,,,1378.4
2005-10-11,,,,1370.57
2005-10-13,,,,1359.47
2005-10-14,,,,1327.81
2005-10-17,,,,1314.68
2005-10-18,,,,1309.71
2005-10-19,,,,1268.07
2005-10-20,,,,1243.92
2005-10-21,,,,1261.86
2005-10-24,,,,1262.3
2005-10-25,,,,1262.3
2005-10-26,,,,1258.12
2005-10-27,,,,1237.32
2005-10-28,,,,1215.24
2005-10-31,,,,1240.98
2005-11-01,,,,1259.15
2005-11-02,,,,1264.16
2005-11-07,,,,1288.88
2005-11-08,,,,1303.98
2005-11-09,,,,1302.77
2005-11-10,,,,1307.37
2005-11-11,,,,1328.69
2005-11-14,,,,1332.09
2005-11-16,,,,1338.61
2005-11-17,,,,1342.57
2005-11-18,,,,1347.49
2005-11-21,,,,1339.11
2005-11-22,,,,1329.22
2005-11-23,,,,1336.02
2005-11-24,,,,1344.64
2005-11-25,,,,1355.94
2005-11-26,,,,1369.34
2005-11-28,,,,1380.11
2005-11-29,,,,1373.18
2005-11-30,,,,1370.2
2005-12-01,,,,1385.1
2005-12-02,,,,1393.85
2005-12-05,,,,1391.76
2005-12-06,,,,1395.51
2005-12-07,,,,1404.18
2005-12-08,,,,1412.21
2005-12-09,,,,1427.79
2005-12-12,,,,1432.84
2005-12-13,,,,1439.17
2005-12-14,,,,1433.55
2005-12-15,,,,1422.37
2005-12-16,,,,1428.94
2005-12-19,,,,1437.96
2005-12-20,,,,1433.38
2005-12-21,,,,1434.55
2005-12-22,,,,1436.79
2005-12-23,,,,1426.38
2005-12-26,,,,1399.69
2005-12-27,,,,1423.6
2005-12-28,,,,1426.3
2005-12-29,,,,1438.37
2005-12-30,,,,1452.64
2006-01-02,,,,1472.75
2006-01-03,,,,1496.72
2006-01-04,,,,1503.66
2006-01-05,,,,1507.33
2006-01-06,,,,1518.7
2006-01-09,,,,1529.55
2006-01-10,,,,1520.28
2006-01-12,,,,1522.26
2006-01-13,,,,1527.97
2006-01-16,,,,1520.05
2006-01-17,,,,1506.15
2006-01-18,,,,1495.17
2006-01-19,,,,1526.42
2006-01-20,,,,1539.32
2006-01-23,,,,1540.15
2006-01-24,,,,1547.29
2006-01-25,,,,1546.19
2006-01-27,,,,1564.21
2006-01-30,,,,1543.64
2006-01-31,,,,1543.88
2006-02-01,,,,1524.36
2006-02-02,,,,1525.5
2006-02-03,,,,1529.16
2006-02-06,,,,1546.79
2006-02-07,,,,1553.46
2006-02-08,,,,1551.26
2006-02-10,,,,1568.26
2006-02-13,,,,1583.08
2006-02-14,,,,1574.31
2006-02-15,,,,1573.73
2006-02-16,,,,1579.97
2006-02-17,,,,1557.54
2006-02-20,,,,1544.09
2006-02-21,,,,1556.53
2006-02-22,,,,1556.36
2006-02-23,,,,1550.02
2006-02-24,,,,1556.22
2006-02-27,,,,1567.78
2006-02-28,,,,1564.37
2006-03-01,,,,1589.58
2006-03-02,,,,1601.24
2006-03-03,,,,1610.67
2006-03-06,,,,1632.73
2006-03-07,,,,1646.66
2006-03-08,,,,1624.74
2006-03-09,,,,1631.37
2006-03-10,,,,1650.93
2006-03-13,,,,1660.08
2006-03-14,,,,1653.19
2006-03-16,,,,1658.54
2006-03-17,,,,1650.01
2006-03-20,,,,1662.9
2006-03-21,,,,1663.02
2006-03-22,,,,1648.51
2006-03-23,,,,1653.47
2006-03-24,,,,1665.68
2006-03-27,,,,1683.98
2006-03-28,,,,1675.95
2006-03-29,,,,1688.82
2006-03-30,,,,1707.8
2006-03-31,,,,1733.52
2006-04-03,,,,1780.92
2006-04-04,,,,1794.31
2006-04-05,,,,1820.28
2006-04-07,,,,1797.36
2006-04-10,,,,1809.59
2006-04-12,,,,1777.05
2006-04-13,,,,1742.32
2006-04-17,,,,1773.13
2006-04-18,,,,1793.66
2006-04-19,,,,1800.72
2006-04-20,,,,1813.77
2006-04-21,,,,1818.04
2006-04-24,,,,1832.03
2006-04-25,,,,1809.83
2006-04-26,,,,1839.43
2006-04-27,,,,1849.94
2006-04-28,,,,1841.84
2006-04-29,,,,1885.71
2006-05-02,,,,1900.98
2006-05-03,,,,1906.43
2006-05-04,,,,1906.48
2006-05-05,,,,1910.39
2006-05-08,,,,1923.39
2006-05-09,,,,1929.52
2006-05-10,,,,1946.95
2006-05-11,,,,1931.68
2006-05-12,,,,1920.74
2006-05-15,,,,1859.39
2006-05-16,,,,1837.5
2006-05-17,,,,1901.69
2006-05-18,,,,1777.98
